"sensor_name","sensor_id","date_installed","tidally_influenced","date_removed","street_name","borough","zipcode","community_board","council_district","census_tract","nta","latitude","longitude","lowest_point_height_delta_inches","location"
"BX - Morris Park Ave/ Radcliff Ave","BX-morris-park-ave-radcliff-ave-25geeo","2024-11-14T00:00:00.000","No",,"Radcliff Avenue","Bronx","10462","211","BX11","2025200","BX1102","40.847977","-73.857227","13.39","POINT (-73.857227 40.847977)"
"Q - 126th St/109th Ave","Q-126th-st-109th-ave-21vxbc","2024-09-06T00:00:00.000","No",,"109th Avenue","Queens","11420","410","QN10","4017000","QN1001","40.683977","-73.815949","9.25","POINT (-73.815949 40.683977)"
"BX - Van Cortlandt Park S/Bailey Ave","BX-bailey-ave-van-cortlandt-park-south-2calk0","2025-03-27T00:00:00.000","No",,"Van Cortlandt Park South","Bronx","10463","208","BX08","2027900","BX0801","40.885642","-73.895364","28.23","POINT (-73.895364 40.885642)"
"BK - 35th St/3rd Ave","BK-35th-st-3rd-ave-20cdbc","2024-08-07T00:00:00.000","No",,"35th Street","Brooklyn","11232","307","BK07","3008400","BK0702","40.655606","-74.004967","13.07","POINT (-74.004967 40.655606)"
"Q - 159th St/109th Ave","Q-159th-st-109th-ave-1jtvk0","2023-09-21T00:00:00.000","No",,"109th Avenue","Queens","11433","412","QN12","4025402","QN1202","40.69381","-73.792863","7.83","POINT (-73.792863 40.69381)"
"BX - Sheridan Bl/173rd St","BX-sheridan-bl-173rd-st-0pmx00","2022-02-11T00:00:00.000","No",,"Sheridan Boulevard, State Route 895, New York-895, Sheridan Expressway North, New York State Route 895","Bronx","10459","203","BX03","2015700","BX0303","40.833601","-73.883273","62.8","POINT (-73.883273 40.833601)"
"BX - Centre St/City Island Ave","BX-centre-st-city-island-ave-1gmzg0","2023-07-21T00:00:00.000","Yes",,"City Island Avenue","Bronx","10464","210","BX10","2051601","BX1003","40.844349","-73.785508","11.42","POINT (-73.785508 40.844349)"
"SI - Boundary Ave/ Hull Ave","SI-boundary-ave-hull-ave-1debg0","2023-05-19T00:00:00.000","No",,"Boundary Avenue","Staten Island","10306","502","SI02","5011201","SI0202","40.580028","-74.098358","12.24","POINT (-74.098358 40.580028)"
"M - Peck Slip/Front St","M-peck-slip-front-st-1zmfzc","2024-07-24T00:00:00.000","No",,"Peck Slip","Manhattan","10038","101","MN01","1001501","MN0101","40.707833","-74.001697","17.68","POINT (-74.001697 40.707833)"
"SI - Barlow Ave/Abingdon Ave","SI-barlow-ave-abingdon-ave-20e7zc","2024-08-08T00:00:00.000","No",,"Abingdon Avenue","Staten Island","10308","503","SI03","5014607","SI0302","40.558332","-74.159673","8.5","POINT (-74.159673 40.558332)"
